state,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
NY,3174.2799999999997,79430.23000000001,2613356.18,5279296.62,10971321.03,6171257.38,2616762.65,1743198.74,2571462.83,5894270.63,11203721.27,1865404.46,3063883.95,311156.27,834264.64,1222206.47,31051273.4,92492826.11,21940876.75,4611947.6,4456950.92,29181202.96,654305.89,6156260.27,10446519.29,2410284.16,888459.81,1026302.66,2567605.19,10665762.95,51838109.15,76381708.91,52623103.42,3463912.31,6091706.51,20489332.69,456384785.97,3710844689.11,12343250.91,14246195.98,2075200.51,984594.98,11462603.2,12007769.37,15432659.89,4009785.56,175684317.07,1132606.04
OH,,,153679.13999999998,1461778.09,2817919.78,1683941.9,2385728.66,3719924.11,227902.25,385645.71,3055839.37,311141.88,1324336.79,207772.38,1412602.98,2554154.88,295168.97000000003,1007369.52,761642.58,4178589.9,1471065.0,3013982.88,21179680.24,11140969.67,322674.16,1563905.93,2696948.9899999998,1029564.77,7993625.44,28916515.05,9523645.49,16601034.68,41381598.6,8320537.3,1779605.04,1519187.52,23777997.83,2297299.59,11500650.37,11332029.81,6895535.48,572143.16,4916707.69,9251461.76,7939387.78,15552894.9,4528803.0,924483.74
OK,,0.0,186.0,198547.53,732381.96,247008.2,320147.89,637938.84,896623.17,22086127.6,1276278.92,11542933.37,2006487.41,290122.29,985985.95,1121112.1,147358.83,663379.49,7011208.12,3267112.79,5250282.38,687593.88,653914.92,1898057.21,1759342.93,6382961.19,328909.85,535239.0,80496.41,1807918.1300000001,93607.28,1086295.54,26373553.2,5636592.7,2240144.15,4715371.23,2755329.16,513458.16000000003,8066827.21,1133927.34,23035453.13,7874905.63,2211619.18,1000904.03,41347977.25,1775613.46,3501217.27,
OR,,,204977.13,55496.130000000005,109289.39,396044.74,212030.64,204005.23,318135.01,589176.82,98491.33,57210.12,58480.4,4510.11,1790.3,242464.59,70594.79,10346.16,21977.43,81889.45,372508.62,28967291.2,2557252.7,2805784.52,4374713.13,154893.03,13761.069999999998,522006.84,267227.87,30041.21,2061842.17,3991494.61,14386869.4,196723.53,2075469.31,328861.42000000004,910081.91,5649074.97,14172.449999999999,394935.44,5564773.64,148930.7,276346.28,669375.51,978786.45,1669537.16,917981.97,0.0
PA,35300.600000000006,7317.31,1061197.25,2786357.05,6083808.93,1201790.93,1649909.75,2707458.91,2639552.16,6221487.79,4833861.7299999995,1974292.98,1666526.94,435516.82,1767063.45,1328116.81,671945.84,684055.32,5043010.9,4270048.14,657638.68,103776785.77,2267059.56,540980.68,44153532.51,4489040.69,18276776.08,669940.36,7807143.9799999995,165099330.63,50688672.75,102141640.73,3757676.49,1414931.7,10778429.12,15760941.14,292026631.39,2761779.73,9970586.62,12296641.39,2015279.57,3943968.69,7399780.44,42017593.15,17696823.37,55694726.06,122713977.39,426062.31
PR,10521.0,0.0,9544.15,55560.57,1029518.24,104600.29,837393.01,134844.89,104904.79,58572.79,1757005.5,718911.6,1427405.78,218455.6,610400.06,16262.21,74613.81999999999,1288834.42,151729.19,6385.99,163918.38999999998,9818146.22,143184.58,11776499.0,767954.1900000001,274527.99,1294425.47,127129.75,1075000.66,2995908.45,700054.68,95459.07,260129.27,2218077.94,2702861.83,607248.34,2451281.43,741036.74,1504346.77,47099.24,0.0,141826.82,21144703.25,31661.93,551289.16,1354188.6,119496.25,233702.25
RI,,,1823.37,411878.76,373151.33999999997,77936.12,14441.779999999999,706385.17,303043.02,119296.11,222350.63,65773.24,22566.08,5004.0,150.0,6889.08,5635229.87,658873.02,480236.64999999997,201892.74,7131.0,109989.98999999999,122726.94,924752.37,295057.11,94720.70999999999,606444.74,34675.58,16753.340000000004,19368.879999999997,8006623.28,1076218.99,1756171.53,622143.0599999999,181612.64,35285339.41,2044344.46,34241781.9,459604.67,129619.51,34354.93,4660.51,31218.57,516510.39,10754.789999999999,198752.98,1994472.47,3979.24
SC,0.0,,4421.17,11275.59,1308434.81,37732.84,77135.51,146708.8,366872.83,166684.47,173471.49,869083.48,4841936.43,289594.94,315342198.87,511670.22000000003,253843.83,390033.14,1066344.1,4835428.2,1771273.31,2643924.83,984708.59,2557855.84,17179777.51,1059006.05,1534471.75,954997.51,952533.44,3631606.33,2001885.34,354026.83999999997,299731.1,3819109.02,982980.72,1057051.04,1226784.38,1505979.7,2961158.29,1403731.05,129825470.82,147776257.43,53043326.25,94101978.95,2273423.87,17665373.78,5191858.36,37805.31
SD,,,850.0,169202.86,33705.03,14598.6,0.0,66605.77,31470.23,329540.57,445.4,292512.56,36688.0,25.0,500.0,0.0,3248.71,9387.43,737127.1900000001,151843.88,211257.94999999998,229468.77,7116325.77,311569.95,1366799.45,50000.0,742958.54,55716.91,6424.2,214422.97,4204.24,1041.15,2587556.1,444171.85,153343.78,3519764.86,13034234.22,447896.52,212612.02,1565138.16,1669346.54,185709.29,0.0,121270.76999999999,15576390.55,218205.8,0.0,
TN,,0.0,73750.02,267293.98,1509036.8,370665.13,132864.71,792903.84,294575.49,1802638.44,36521.13,223745.72000000003,677687.92,75002.51,705048.68,2255340.73,449748.9,110892.68000000001,268738.44,3154459.63,1058689.21,1157762.55,2276326.29,4185992.95,725405.36,749586.03,1204427.8800000001,2252979.35,13108639.11,3829602.53,258003.25,570265.46,63541.53,511055.37,9454239.89,189972452.9,9832387.03,2165723.86,9821751.4,4574551.82,1348349.85,2877802.84,7986668.2,2150190.34,19204777.36,10127885.28,79172070.0,305498.2
TX,4000.0,57831.06,65967.24,1976625.5,158882254.4,24489482.97,39323313.01,9757153.88,104698547.81,16167115.77,7146724.39,4736522.21,7442263.94,3096328.11,109098590.79,17199041.97,24423138.54,42810096.82,7305615.71,167005711.22,11364991.3,7904794.15,29821671.38,198144134.07,6811515.86,11133793.85,743733978.03,154269843.41,40848320.29,47590724.95,43838082.68,78914289.71,75607160.32,1763464267.89,144451606.84,57690539.56,1365298.08,29984307.75,53257042.5,12665687.56,472843089.45,574908738.35,7049150543.23,103341101.57,911622898.28,47982459.55,48848090.62,2437295.42
UN,,1113.0,132328.03,1983683.88,10490550.65,4131231.88,2824933.78,7115476.99,13726468.54,8576519.99,8696410.97,1460377.52,414454.76999999996,41331.35,177406.31,54958.37,119532.81999999999,157883.4,230532.12,10386.45,101851.72,5380.639999999999,46333.34,22637.42,1054.18,621.0,29303.4,11484.17,29460.9,44302.11,12907.89,7730.87,,,,83274.36,108283.03,,,,,,,,,,,
UT,0.0,,2811.52,28183.87,10648.54,7789.5,4087.41,251311.45,1680491.69,1346173.96,38040.840000000004,367326.88,32530.7,0.0,13545.880000000001,,4300.35,14999.15,423.67,,160775.23,8421.23,14293.57,3061.72,2494.33,123.94,5009.58,40300.92999999999,9396.67,11175.72,116896.3,74823.75,205110.31,30789.309999999998,35866.11,101171.61,182765.05,8048.58,79076.4,161276.69,41552.2,56269.61,78970.3,48056.84,60336.270000000004,14828.51,1063732.1500000001,0.0
VA,,0.0,551553.8,1998619.97,1235418.02,286860.82,157831.80000000002,856366.69,130213.83,1057003.28,23765559.51,96323.37,2432111.94,710501.35,1611825.13,499793.13,524643.75,6489364.57,543088.4,1298751.28,3413825.38,24441780.17,363438.79,8080692.35,15925863.78,958871.29,1698446.09,2122317.04,193714319.43,14609053.38,875822.32,36002332.58,215174.96,2174021.01,93196953.48,2237421.73,38508504.08,21861356.11,3163675.96,6476649.63,4446167.1,67313080.56,1540731.14,15513647.22,10452280.53,14476708.22,2432897.27,526860.39
VI,,,14153.95,2750.85,364815.15,15964.23,94061.8,25716.050000000003,253481.1,169103.97999999998,16830.52,3096.6,11704.32,15586.96,4010951.21,11822.619999999999,0.0,5690.65,0.0,0.0,7145580.97,1112374.96,0.0,1128096.9000000001,2479432.85,13731.88,82986.07,0.0,1101518.34,385429.8,297376.19,304598.03,185967.88999999998,2376640.28,87207.7,1988051.25,163960.06,20603.69,213451.83999999997,86463.58,0.0,0.0,16055500.69,8867.48,182393.84,,,
