,grid_id_old,grid_id
2654,"(113, 270)","(22, 90)"
2657,"(113, 271)","(22, 91)"
2658,"(114, 272)","(24, 91)"
2664,"(113, 270)","(22, 90)"
2669,"(114, 270)","(24, 90)"
2671,"(114, 270)","(24, 90)"
2673,"(112, 273)","(22, 92)"
2674,"(115, 270)","(25, 89)"
2677,"(113, 271)","(22, 91)"
2680,"(115, 270)","(25, 90)"
2682,"(113, 272)","(23, 91)"
2687,"(112, 273)","(22, 92)"
2698,"(113, 271)","(22, 90)"
2700,"(114, 271)","(23, 90)"
2704,"(115, 270)","(25, 89)"
2718,"(115, 270)","(25, 89)"
2726,"(115, 270)","(25, 89)"
2742,"(113, 270)","(22, 90)"
2746,"(113, 272)","(23, 92)"
2747,"(114, 272)","(23, 91)"
2763,"(114, 272)","(23, 91)"
2770,"(112, 273)","(22, 92)"
2771,"(113, 270)","(22, 90)"
2774,"(114, 271)","(23, 91)"
2778,"(113, 272)","(23, 91)"
2779,"(113, 271)","(22, 91)"
2785,"(115, 270)","(24, 89)"
2787,"(114, 269)","(24, 89)"
2793,"(115, 272)","(24, 91)"
2796,"(116, 270)","(25, 90)"
2799,"(115, 270)","(25, 89)"
2807,"(114, 272)","(23, 91)"
2816,"(115, 271)","(25, 91)"
2817,"(115, 270)","(25, 89)"
2927,"(115, 270)","(25, 89)"
2939,"(114, 270)","(23, 90)"
2943,"(115, 270)","(24, 89)"
2946,"(116, 269)","(26, 89)"
2947,"(113, 271)","(23, 91)"
2948,"(115, 272)","(24, 91)"
2950,"(115, 270)","(25, 89)"
2980,"(116, 269)","(26, 89)"
2985,"(113, 270)","(22, 90)"
2992,"(114, 270)","(23, 89)"
2994,"(113, 271)","(22, 90)"
2996,"(112, 273)","(22, 92)"
3006,"(113, 270)","(22, 90)"
3020,"(115, 270)","(25, 89)"
3023,"(113, 270)","(22, 90)"
3053,"(114, 272)","(23, 91)"
3054,"(115, 270)","(25, 89)"
3068,"(116, 270)","(25, 90)"
3074,"(116, 270)","(25, 90)"
3079,"(113, 270)","(22, 90)"
3098,"(114, 269)","(24, 89)"
3108,"(112, 273)","(22, 92)"
3110,"(115, 269)","(25, 89)"
3114,"(113, 271)","(22, 91)"
3120,"(115, 271)","(25, 91)"
3122,"(115, 270)","(25, 89)"
3136,"(116, 269)","(26, 89)"
3140,"(112, 273)","(22, 92)"
